Event Index Number,Reproduced depth (km),Depth with STAR (km),,Abs. Diff. in Depth,Is Abs. Diff <= 20 km?,,Ho etal IDE Event,Wei IDE Event,Ho etal Shallow Event,Wei Shallow Event,
447,136.855469,136.855469,,0,YES,,YES,YES,,,
448,124.023438,-4.824219,,128.847657,,,YES,,,YES,Original IDE swithed to shallow event
449,120.683594,119.804688,,0.878906,YES,,YES,YES,,,
450,118.398438,118.398438,,0,YES,,YES,YES,,,
451,110.664062,-4.824219,,115.488281,,,YES,,,YES,Original IDE swithed to shallow event
452,113.828125,113.828125,,0,YES,,YES,YES,,,
453,128.242188,128.242188,,0,YES,,YES,YES,,,
454,122.792969,-4.824219,,127.617188,,,YES,,,YES,Original IDE swithed to shallow event
455,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
456,121.738281,121.738281,,0,YES,,YES,YES,,,
457,116.113281,116.113281,,0,YES,,YES,YES,,,
458,130.527344,130.527344,,0,YES,,YES,YES,,,
459,123.847656,123.847656,,0,YES,,YES,YES,,,
460,-4.824219,-4.824219,,0,YES,,,,YES,YES,
461,127.539062,126.835938,,0.703124,YES,,YES,YES,,,
